######################################
## Cross section in pb for datasets
##

#13 TeV SM backgrounds -- LO cross sections from MCM
TTJets_MSDecaysCKM_central_Tune4C_13TeV-madgraph-tauola         424.5
QCD_Pt-5to10_Tune4C_13TeV_pythia8                               80710000000
QCD_Pt-10to15_Tune4C_13TeV_pythia8                              7528000000
QCD_Pt-15to30_Tune4C_13TeV_pythia8                              2237000000
QCD_Pt-30to50_Tune4C_13TeV_pythia8                              161500000
QCD_Pt-50to80_Tune4C_13TeV_pythia8                              22110000
QCD_Pt-80to120_Tune4C_13TeV_pythia8                             3000114.3
QCD_Pt-120to170_Tune4C_13TeV_pythia8                            493200
QCD_Pt-170to300_Tune4C_13TeV_pythia8                            120300
QCD_Pt-300to470_Tune4C_13TeV_pythia8                            7475
QCD_Pt-470to600_Tune4C_13TeV_pythia8                            587.1
QCD_Pt-600to800_Tune4C_13TeV_pythia8                            167
QCD_Pt-800to1000_Tune4C_13TeV_pythia8                           28.25
QCD_Pt-1000to1400_Tune4C_13TeV_pythia8                          8.195
QCD_Pt-1400to1800_Tune4C_13TeV_pythia8                          0.7346
QCD_Pt-1800to2400_Tune4C_13TeV_pythia8                          0.102
QCD_Pt-2400to3200_Tune4C_13TeV_pythia8                          0.00644
QCD_Pt-3200_Tune4C_13TeV_pythia8                                0.000163
DYJetsToLL_M-50_HT-100to200_Tune4C_13TeV-madgraph-tauola        194.3
DYJetsToLL_M-50_HT-200to400_Tune4C_13TeV-madgraph-tauola        52.24
DYJetsToLL_M-50_HT-400to600_Tune4C_13TeV-madgraph-tauola        6.546
DYJetsToLL_M-50_HT-600toInf_Tune4C_13TeV-madgraph-tauola        2.179
ZJetsToNuNu_HT-100to200_Tune4C_13TeV-madgraph-tauola            372.6
ZJetsToNuNu_HT-200to400_Tune4C_13TeV-madgraph-tauola            100.8
ZJetsToNuNu_HT-400to600_Tune4C_13TeV-madgraph-tauola            11.99
ZJetsToNuNu_HT-600toInf_Tune4C_13TeV-madgraph-tauola            4.113
WJetsToLNu_HT-100to200_Tune4C_13TeV-madgraph-tauola             1817
WJetsToLNu_HT-200to400_Tune4C_13TeV-madgraph-tauola             471.6
WJetsToLNu_HT-400to600_Tune4C_13TeV-madgraph-tauola             55.61
WJetsToLNu_HT-600toInf_Tune4C_13TeV-madgraph-tauola             18.81

#SUSY SMSs -- dummy cross sections
SMS-T1bbbb_2J_mGl-1000_mLSP-900_Tune4C_13TeV-madgraph-tauola    1
SMS-T1bbbb_2J_mGl-1500_mLSP-100_Tune4C_13TeV-madgraph-tauola    1
SMS-T1qqqq_2J_mGl-1000_mLSP-800_Tune4C_13TeV-madgraph-tauola    1
SMS-T1qqqq_2J_mGl-1400_mLSP-100_Tune4C_13TeV-madgraph-tauola    1
SMS-T1tttt_2J_mGl-1200_mLSP-800_Tune4C_13TeV-madgraph-tauola    1
SMS-T1tttt_2J_mGl-1500_mLSP-100_Tune4C_13TeV-madgraph-tauola    1
SMS-T2bb_2J_mStop-900_mLSP-100_Tune4C_13TeV-madgraph-tauola     1
SMS-T2qq_2J_mStop-1200_mLSP-100_Tune4C_13TeV-madgraph-tauola    1
SMS-T2qq_2J_mStop-600_mLSP-550_Tune4C_13TeV-madgraph-tauola     1
SMS-T2tt_2J_mStop-425_mLSP-325_Tune4C_13TeV-madgraph-tauola     1
SMS-T2tt_2J_mStop-500_mLSP-325_Tune4C_13TeV-madgraph-tauola     1
SMS-T2tt_2J_mStop-650_mLSP-325_Tune4C_13TeV-madgraph-tauola     1
SMS-T2tt_2J_mStop-850_mLSP-100_Tune4C_13TeV-madgraph-tauola     1
